start	end	text
693023	698968	Sam and Greg, as far as we can tell, and I'm curious if you guys have heard anything about this, immediately go to work spinning up a new
699528	700148	AI company.
700188	709915	I think it was very obvious to everybody immediately that they could just like have a company with an LLC and a name and people would throw billions of dollars of investment at it.
710015	710195	Yeah.
710475	719621	And so they started, the things that had been reported are that they were building, or they were thinking about building an AI chip company to rival Nvidia.
719681	724604	There's been the thing with Sam and Johnny Ive and Masa Sun working on AI hardware.
725084	727886	Sam's largest investor in Humane, which is forever hilarious.
728306	737528	Did you guys learn anything about what the like counter idea might have been if we landed in the world of Friday night where they just went off and started their own company?
737976	741997	No, and I think it's actually important to fill that in a little bit.
742017	743637	I don't know if you've ever been fired.
744257	750318	You know, the first thing you do is you plot your revenge, like very emotionally plot your revenge, right?
750999	752439	And that is what was happening.
752579	753899	That is what that communication was.
753919	754859	We'll just start a new cut.
754899	757660	Like, these are still people.
757740	762821	They are very human people, as we discovered throughout their actions of the weekend.
763661	765683	They might think they're the masters of the universe.
765803	775851	They might be playing with $80 billion worth of shareholder value, but they are people, like just deeply emotional flawed people, just like everybody else.
776211	780414	And so that first wave was very much a revenge wave.
780454	783076	Like they had no notice, so they had necessarily no plan.
783917	785058	So we'll start a new company.
785078	786058	I can get the money.
786559	787499	Everyone will come over.
788159	794783	That was a burst of communication that I think was rooted in just the emotion of the moment.
795203	797425	Then I think everyone got some sleep.
798345	808251	And then we entered into Saturday where Alex and I broke the news that the investors were pressuring the open AI board to bring these folks back.
809324	811307	which bled into today.
811327	814452	And again, the absolutely unpredictable outcome of today.
814832	821963	But I think the Friday night, we're just going to go start a new company was just the first heated emotion of that moment.
822684	824246	And all the people around them
824867	830475	We're very much saying, hold up, can we just control Z this thing and fix it?
830795	835802	I heard my interest is just fixing it very directly from some people.
835902	836984	I'm just trying to fix it.
837024	837725	This is ridiculous.
837785	838666	It should have never happened.
839687	841310	I believe that, but also,
841830	843991	Alex, tell me if you agree with me on this or not.
844111	851673	I would assume that every venture capitalist on earth with Sam Altman's phone number called him on Friday night and said, tell me how to give you money for your next thing.
852393	852773	For sure.
853533	857735	So, I mean, is your point that they should have just left and not tried to?
858055	866157	No, I think, Neal, I think you're right, but I also think the sort of parallel universe in which they went to start that company is not that far off.
866417	868938	I'm not saying it was impossible, right?
868998	872259	It was a very easily accomplished thing, I think you're correct.
872299	875280	The money was flowing, the support was public, right?
876180	885102	You saw the node COSLA who runs COSLA Ventures just publicly tweeting how much he supported, like the money was available from all of his existing investors, probably from Microsoft, right?
885843	893065	But the thing that I'm just trying to underline here is that first wave on Friday night of we'll start our own thing was reflexive.
893985	894866	It was not considered.
895307	902134	And there's a big gap between we'll support you in whatever your next thing is and writing a check against the business plan.
902714	907239	And that gap was as far as we can tell, but no one ever thought about crossing that chasm.
907660	908260	OK, that's fair.
908320	908520	All right.
908601	913325	And so let's get to Saturday, because that's when stuff gets even weirder somehow.
913546	915047	But first, we're going to take a quick break.
915107	915528	We'll be right back.
921300	925802	This podcast is brought to you by MetaQuest 3, the new mixed reality headset from Meta.
926403	930485	Now you can expand your world in ways you never thought possible with the new MetaQuest 3.
931085	939469	Put on the sleek, most powerful quest yet, and jump into fully immersive games, or blend virtual elements into your physical surroundings with mixed reality.
939930	943412	Instantly go from watching to playing the part in your favorite show with Stranger Things VR.
944412	949893	Live the action and really feel what it's like to step into the shoes of an assassin in Assassin's Creed Nexus.
950554	955495	Even turn your couch into courtside seats with X Stadium and watch your favorite NBA team.
955995	959936	With over 500 titles, it's easy to dive into whatever you're into.
960416	962516	Expand your world with MetaQuest 3.
962936	964077	See Child Safety Guidance online.
964177	964837	Accounts for 10 and up.
964917	967157	Certain apps, games and experiences may be suitable for a more mature audience.
967458	968958	Learn more at meta.com.
974634	976155	It's not just sci-fi anymore.
976815	978416	Virtual reality for work is here.
979136	980616	Mixed reality for work is here.
981197	984678	And companies everywhere are using them both to transform how they operate.
985498	989260	Architects are able to walk through buildings in mixed reality before they're even built.
990000	994321	Co-workers from opposite ends of the earth are working shoulder to shoulder in VR spaces.
994961	1001983	And all sorts of workers, from pilots to underwater welders, are getting trained in a virtual environment that's safer and more cost-effective.
1002763	1003703	That's Meta for Work.
1004343	1008944	Giving you VR and MR Tech to work smarter, closer, safer, together.
1009664	1011145	Learn more at forework.meta.com.
1020111	1020631	All right, we're back.
1020952	1021772	So we've had the breakup.
1022412	1025134	We've had the feelings, at least putting up angsty away messages.
1025794	1032398	And then Saturday morning in the Bay Area somewhere, reconciliation begins.
1032879	1035560	Neal, I take me through like the beginning of the story on Saturday.
1036081	1046127	So what we had heard is the investors in OpenAI, which is mostly the commercial entity, they're putting a lot of pressure on, hey, we need to at least know what happened.
1046167	1049249	We need to know your reasoning and we need to see if we can resolve this situation.
1050109	1054171	That led to what I am guessing is yet more Google Meet calls.
1054211	1060994	And I just want to keep highlighting this because I think we are all imagining some like very tense in-person meetings.
1061634	1064355	And really, everyone was kind of just on the phone.
1064375	1067997	I mean, we're all imagining the board room from succession, right?
1068037	1069817	That's what's in everybody's mind as we go through this.
1069857	1073799	Like a bunch of people sitting around a table raising their hands like with great intention.
1074239	1075840	I'm saying, I don't even know if their cameras were on.
1077221	1082403	This is a lot of people who are alone or in small groups of people in various places.
1082904	1089227	Also, just very important note, $10 billion from Microsoft can still not make you use Teams.
1093650	1095011	It is the most important.
1095692	1097354	So we start hearing there's all this pressure.
1097975	1101519	And Alex actually hears, hey, they might bring him back.
1101579	1103342	So Alex and I just start calling everyone.
1103782	1104363	And we broke this.
1104463	1111592	We beat, I don't remember who we beat, but we beat someone by six minutes to the story that open as board is in negotiations to bring Altman back.
1112132	1117276	And the most important piece of that story is he was ambivalent about it.
1117556	1118597	That was reporting that we had.
1119238	1123161	And his condition was, I'm not going to go work for these people again.
1123201	1124662	They just fired me for no reason.
1125222	1127284	They all have to go, which is understandable.
1129245	1131547	Just an incredible condition to impose, right?
1131927	1136491	So even from that moment, like we get this reporting, we break the story, we're like high fiving.
1136651	1139953	I'm thinking and Alex is thinking, OK, to make this happen,
1141054	1145835	four people have to publicly admit they made a mistake and resign in disgrace.
1146455	1148516	Yeah, this is a high mountain.
1149056	1150436	Who knows what will happen next.
1150516	1151936	And then we spent the rest of the weekend on the phone.
1152316	1160898	Yeah, Alex, what was your sense of whether that those were kind of real requests, whether that was again, Sam saying, I'd like to come back.
1160978	1164699	Here's my rational list of what it will take or Sam being like,
1165539	1166400	Fuck me fuck you.
1167440	1176545	I think it was pretty clear that Sam had the upper hand as of like Saturday midday and then you know We had reported that they had a 5 p.m.
1176625	1189632	Deadline to reach a deal with the board and The thing that was going to happen at that point was if it wasn't reached Sam's camp was telling the board there's gonna be mass resignations You know the entire company is behind us
1189972	1191413	Is that why you think he had the upper hand?
1191913	1195714	Just because it was so clear so quickly that OpenAI as a company was behind him?
1196035	1203698	I think what everyone underestimated is the resolve of what ultimately was three people to not have him come back.
1203738	1206659	And the thing is the board has been radio silent.
1206819	1215403	Aside from that initial statement and an internal email that reiterated the statement to employees Sunday night, no one from the board has said anything publicly.
1215423	1217004	They haven't elaborated on anything.
1217104	1217744	So that's important.
1218364	1222047	But it seemed like Sam was getting the upper hand the 5 p.m.
1222087	1230475	Deadline passes on Saturday I'm at a party and Eli is like where I'm like stepping aside and you guys calling me and we're like What is happening?
1230495	1241564	Does this mean mass resignations and then we look on x and I want to know it is deeply ironic that all of this has been playing out on x because it's all training data for grok and
1241924	1245127	It's all training data for Elon's OpenAI competitor.
1245567	1247489	This is all just a plan to poison Grock.
1247529	1249710	You're like, Grock, how do I replace the CEO?
1249731	1250951	And it's like, here's some ideas.
1251232	1251472	Right.
1252633	1256136	And it's also, there's a lot of deeper irony there with Elon we can get into at some point.
1256176	1267445	But we saw this very public display of support for Sam Saturday night with pretty much everyone at OpenAI quote tweeting him with the heart emoji, right?
1267845	1268065	Yeah.
1268085	1271149	So Sam tweets something like, I love the open AI team.
1271869	1278777	And as if they had coordinated this in a high school cafeteria, they all quote tweeted it with hearts.
1278997	1280238	They all quote exactly.
1280679	1282040	Major high school calf vibes.
1282581	1284803	And then we're all thinking like,
1285544	1290687	Okay, this maybe means he won, like we're all like Neil and I are scratching our heads.
1291167	1297910	And then, you know, you wake up the next day and you realize that was a pressure campaign to show that Sam actually did have the backing of the whole company.
1298290	1298491	Yeah.
1298671	1302853	And so we had heard we, we had reported this 5pm deadline.
1303694	1304034	5 p.m.
1304615	1305096	Pacific.
1305697	1307581	So that deadline just comes and goes.
1307741	1311548	And we are scrambling, texting everyone in the universe, like, what is happening?
1312069	1313211	This was a deadline, right?
1313271	1313973	Everyone's supposed to quit.
1313993	1315255	So they start tweeting the hearts.
1316400	1323403	And it was actually very unclear whether this was, we're all quitting right now or Sam has won.
1323663	1328625	And the online reaction was like instantly polarized, right?
1328665	1331066	Binary reaction, like people are like, Sam's won, it's done.
1331827	1334688	And our instinct was we would know, right?
1334728	1336329	Like this is cryptic.
1336389	1339170	We're doing high school away messages on X.
1340532	1343794	It's absolutely not done, but we still don't know.
1343894	1347017	And there was no further conversation after that.
1347297	1350359	I was basically told, go to bed by a source.
1350619	1351760	You're done for the day.
1352260	1353021	We did this thing.
1353341	1354342	It's the show of force.
1354842	1355903	Everyone has to go to sleep now.
1355983	1356864	We'll try again tomorrow.
1357444	1359165	So that was the end of that day.
1359185	1368352	I will say that my favorite conspiracy theory about this is that a misaligned AI was instructed to get people to watch the Las Vegas F1 Grand Prix.
1368772	1370112	which started at 1AM Eastern.
1370372	1371513	And I was like, this almost worked.
1371633	1374073	Like I almost watched this, but I went to bed anyway.
1374113	1378214	But then we woke up the next morning and we were, it was basically the status quo.
1378655	1380875	Like this pressure campaign had not moved anything.
1381595	1387557	We were told, Care Switcher has reported this, we were told that there was a noon Pacific deadline, which they blew right by.
1387577	1391038	And then we reported again, there was another 5PM deadline.
1391698	1393219	So my response to that was, is this real?
1393299	1395160	You can only issue so many 5 p.m.
1395200	1398282	ultimatums in your life, especially in sequential days.
1398903	1400704	And I was told, yes, this is a hard deadline.
1400744	1401505	It's real today.
1401525	1403146	Either this happens at 5 p.m.
1403166	1404847	today or we go in another path.
1404967	1406308	And I thought, oh, man, how do I report this?
1406708	1417035	And that is when Sam tweeted a picture of himself in the OpenAI offices holding a guest badge with the caption, first and last time I ever wear this badge.
1417813	1422537	which is right, that's the ultimatum, like either this is getting fixed or I'm never coming back here again.
1423038	1432006	And so that was when I felt comfortable saying, okay, it's like, we're doing the 5pm thing again, but I've got the guy like issuing the ultimatum, like this makes sense to me.
1432677	1442062	Yeah, so then they then spent the whole day at OpenAI headquarters, hashing this out, basically having what I would assume is just the same fight over and over and over again.
1442642	1447005	Sam trying to get the board to resign and disgrace and the board not wanting to resign and disgrace.
1447385	1452107	There was some internal discussion there about picking the successors for the board.
1452588	1460372	And the feeling, and we don't have this on the side, but it's a little shakier, but the feeling was people were suggesting candidates
1461112	1465214	We heard a lot of what I would call like web 1.0 names.
1466175	1467776	Sheryl Sandberg was in the mix.
1467856	1470217	Like, right, Marissa Myers in the mix.
1470257	1476861	Like all these like old heads who are from that era, you know, the adults, like we're going to hire adult supervision for Google.
1477421	1479162	Like I was like, when is Eric Schmidt going to show up?
1479622	1479782	Right.
1479802	1482043	Like this is, these are the kinds of people we're talking about.
1482223	1482444	Yeah.
1482484	1490508	I mean, if you saw a very public web 1.0 tech executive, like tweeting support of Sam over the weekend, they were most likely trying to get on the board.
1492116	1510421	Costolo just appears out of nowhere at one point Alex is like these people are just like in the firmament They're available to show up and like run your company for a couple years like Brett Taylor We should know I mean Brett Taylor with like the guy who literally just negotiated the sale of Twitter to Elon and the second most dramatic boardroom tech situation of the last decade.
1510701	1510861	Yeah
1511401	1516906	It's like, I keep calling him capital A adults, although no one here was acting like an adult.
1517286	1519348	But they have that rep.
1519728	1520849	Here's the cast of characters.
1521270	1525133	And we had heard that Sachin Adela was mediating this conversation.
1525153	1528516	And his point of view was he's pretty neutral.
1528556	1529957	He just wants us over with.
1530658	1533420	He needs a story to tell Microsoft shareholders on Monday morning.
1534060	1539165	And that is Microsoft's interest, is stability for shareholders because they have this massive dependency on OpenAI.
1539545	1549952	And that was one of the other things we should have said on Friday is that this all happened while the markets were still open on Friday and Microsoft's stock like tanked as a result of this happening.
1549992	1555496	Like this was the biggest public blowback on this was going to come back to Microsoft in a pretty real way.
1555816	1558998	So it makes sense that Nadella was going to be directly involved in doing this.
1559198	1570281	And this ticking clock for Microsoft, I think it is underappreciated, but it was very real that Microsoft needed a crisp thing to say on Monday morning one way or another.
1570922	1572462	So I always had it in the back of my head.
1572482	1584846	Like at some point, this has to hit some kind of resolution because Microsoft will not demand it, but will just create a resolution to say to its shareholders.
1585306	1587807	So there's all this like vetting of these like old heads.
1588761	1590122	The OGs come to town, right?
1590582	1594524	So the vibe I'm getting, and again, we don't actually know if everyone was all together.
1594625	1596686	We know there was a lot of opening high people at that headquarters.
1596706	1598907	We don't know if the board was there, actually.
1599447	1605731	But the vibe we're getting is people are firing names at this board, and the board is not taking it seriously.
1605751	1610174	And in the meantime, they are running their own search for a new CEO.
1610874	1619699	because their interim CEO, Mira Muradi, has sided with Sam in the meantime, like publicly during the hearts campaign on Twitter, she's posting the heart, right?
1619719	1621040	So she's, what a sentence.
1621060	1621800	She's gone over.
1621821	1624362	I mean, it is just absolutely childish.
1624382	1628564	When I say these are very flawed human people, like we're going to win this fight by posting hearts on Twitter is
1629804	1630704	I don't know what to say about it.
1630884	1634806	One day I will like have had enough time to process that situation.
1635286	1637907	But Mira has gone over to team Sam like very publicly.
1637947	1646830	So the board needs a new CEO so that they're getting tossed these names and everyone is hoping that they will accept some names and resign and the new names will take over.
1647191	1649611	And in the meantime, they are looking for a new CEO.
1649832	1654873	And that is more or less what is happening all day Sunday as the 5 p.m.
1654953	1655974	deadline draws ever near.
1656474	1658576	So we hit that deadline, and again, nothing.
1659157	1663221	Alex, where was your head at sort of the end of Sunday?
1663321	1670428	Obviously, things get crazy several hours after that deadline, but where were we at the end of that day on Sunday, do you think?
1670768	1676234	I was feeling like if we didn't have an announcement by five, it wasn't going to work out.
1676594	1682516	And we were kind of getting back channel that by midday Sunday, things were taking a turn.
1683117	1687738	And I didn't obviously no one could have expected what actually happened.
1687758	1691580	This is the most like I was saying at the top bananas thing.
1692160	1699263	But yeah, I think people were generally people who were close to the story were thinking like, OK, he made it very clear publicly.
1699303	1701323	This is the last time he's setting foot in the building.
1701844	1704925	The deadline has passed and it's not looking good.
1705565	1711691	And there's a version of that that would have been a very dramatic weekend that ended in a relatively okay thing.
1712051	1713472	Sam and Greg go off to do something.
1713492	1715094	They bring some open AI people with them.
1715454	1717016	Open AI hires a new CEO.
1717536	1718977	Everybody moves on with their lives.
1719718	1724342	There's a version of this where a lot of people had a lot of feelings, but it turns into a relatively normal
1725183	1727165	corporate change, right?
1727325	1729526	But that is obviously not what happened.
1729907	1730067	Right.
1730107	1732348	The negotiation to bring Sam Altman back has failed.
1732388	1738433	Miramarati continues his interim CEO, Microsoft wishes Sam the best and says they'll support him in the new venture.
1738453	1738913	Right.
1739293	1744617	Again, the thing that needed to happen by Monday morning was a Microsoft statement to the market.
1745338	1750461	And you really just cannot underestimate how much pressure that was applying to the situation.
1750481	1750962	Yeah.
1751582	1754243	So I'm expecting that statement, right?
1754283	1755823	Like, here's the forcing function.
1756324	1759545	We just have to be ready for this deal is going to fall apart.
1760065	1766767	Microsoft is going to issue some holding statement and say, you know, we have a deal with open AI, everything's fine.
1766827	1768567	Our contracts are rock solid.
1769148	1774429	Brad Smith, our chief legal officer is a great lawyer, like whatever Microsoft is going to say to calm everybody down.
1775090	1775910	But instead,
1776670	1777932	Then all credit to Bloomberg.
1778072	1794472	Bloomberg has a report, I don't know, 10 minutes before the thing actually happens that Mira Murati has hatched a plan as interim CEO to just rehire Sam and Greg as employees while the board is out calling people
1795353	1797636	to interview them to be the CEO to replace Mira.
1798097	1809892	And so what comes out in the end, I'll just fast forward a little bit, is Mira's plan was to quickly hire Sam and Greg as employees again, forcing the board to fire all three of them.
1810771	1812733	which would have led to presumably lawsuit.
1812753	1815074	Like who knows what was gonna happen in that moment.
1815495	1822000	But that was the last swing of chaos when it was, I think obvious, oh, this just fell apart.
1822540	1826764	Like we're not in a place where we're negotiating for people resigning.
1826904	1833869	We're in a place where we're actively trying to create legal leverage for a lawsuit to come.
1834450	1839274	And the board is actively trying to replace the person that they just hired to replace the CEO they fired.
1840717	1849583	Sorry, it's just I know it's just like this whole thing has been such a blur for Nila and I like when you say all this out loud, it's just truly it's insane.
1849823	1855907	And it does seem like I think your instinct there is right, Nila, that it's at that point what you're saying is I'm not going to quit.
1856007	1856808	You have to fire me.
1856928	1857048	Yeah.
1857268	1863973	Like I'm going to cause so much trouble for you that you're going to have to get rid of me and then I'm going to have ammo kind of in whatever direction I want to use it.
1864013	1864713	Yeah, exactly.
1864873	1865053	Right.
1865093	1869236	And the rehiring of Sam and Greg is like a deeply funny idea.
1869536	1870537	Like you have to fire them again.
1872258	1875439	Just like hire them as interns and watch them get fired.
1875499	1875679	Yeah.
1875819	1877620	And all three of them will then sue the board.
1878361	1882562	And this is when Alex and I just started sending out hundreds of text messages.
1882783	1883943	This is about to fall apart.
1884383	1886124	Like this is absolutely about to fall apart.
1886904	1888465	And it fell apart.
1888565	1893708	And it fell apart in the weirdest way possible, which is the board just didn't even announce.
1894748	1896329	Like the information broke.
1896649	1896829	Yeah.
1896889	1898429	This is just like coming from sources.
1898449	1901010	Like the board has been in a bunker somewhere.
1901130	1902851	They don't have a crisis comms team.
1902871	1905072	They don't have like people speaking to the media.
1905692	1913335	They've just been radio silent, but it starts to trickle out that they've actually named a new CEO and it's Emmett Shear.
1913855	1916879	Not on my bingo card for who is going to be the next CEO of OpenAI.
1917239	1918821	Not on anyone's bingo card.
1919002	1922085	I think it's very safe to call this one out of left field.
1922326	1929114	Emmett was the co-founder of Twitch, which is a live streaming video site, not an AI company.
1929214	1932018	He's not seen as an AI leader.
1932578	1942524	He posted shortly after it leaks that he was being named CEO that he got the call for the job that day and took a few hours to decide.
1942884	1944605	And, you know, he's a free agent.
1944705	1948147	He left Twitch earlier this year before mass layoffs.
1948167	1949668	They've had two rounds of layoffs since.
1950529	1960375	I can confidently say that the vibe within Amazon is that Twitch has been a, hmm, how should I put this, a shit show since Amazon bought it.
1961195	1965597	And so no one really thought of Emmett, except the board, apparently.
1965917	1977683	He is now the CEO, and he sent this note internally to employees saying that he was going to conduct an independent review of the board's actions, which is hilarious because he was hired by the board.
1977703	1986507	I don't think that's possible to have an independent review when you are the person you're represented by, the people that you're reviewing.
